family,order,cutoff_hz,trial,rolloff_db_per_octave,passband_ripple_db,group_delay_ms,output_snr_db
ellip,6,20,1,59.542,0.2636,47.722,20.301
ellip,6,20,2,60.581,0.2821,46.894,21.489
ellip,6,20,3,63.904,0.2752,47.375,20.86
ellip,6,20,4,60.4,0.2734,48.058,20.521
ellip,6,20,5,61.51,0.2633,47.649,19.733
ellip,6,40,0,64.062,0.2683,24.141,20.34
ellip,6,40,1,60.534,0.2617,23.486,20.328
ellip,6,40,2,58.487,0.2663,23.486,20.395
ellip,6,40,3,62.057,0.2764,24.48,20.013
ellip,6,40,4,61.315,0.2716,24.804,20.552
ellip,6,40,5,61.258,0.2716,25.189,20.356
ellip,6,60,0,62.739,0.2654,15.565,20.294
ellip,6,60,1,60.361,0.2674,15.995,20.411
ellip,6,60,2,64.459,0.2663,15.16,19.041
ellip,6,60,3,59.614,0.2788,16.584,20.633
ellip,6,60,4,59.295,0.284,15.285,19.814
ellip,6,60,5,61.504,0.2793,16.033,20.434
ellip,6,80,0,59.819,0.2597,11.546,19.144
ellip,6,80,1,60.615,0.2854,11.206,18.503
ellip,6,80,2,61.4,0.2712,11.998,18.852
ellip,6,80,3,64.268,0.2764,12.247,19.811
ellip,6,80,4,60.129,0.2744,12.553,17.276
ellip,6,80,5,62.394,0.2973,12.206,18.295
ellip,6,100,0,59.692,0.2676,9.863,19.65
ellip,6,100,1,64.262,0.2554,9.729,19.538
ellip,6,100,2,64.268,0.2721,9.466,16.987
ellip,6,100,3,61.618,0.2763,10.051,16.997
ellip,6,100,4,60.908,0.2599,9.074,17.274
ellip,6,100,5,60.332,0.2725,9.903,19.611
ellip,8,20,0,82.181,0.3414,63.743,23.703
ellip,8,20,1,81.061,0.3453,64.255,19.927
ellip,8,20,2,82.356,0.3492,63.039,21.413
ellip,8,20,3,83.508,0.3561,63.502,21.268
ellip,8,20,4,81.943,0.3476,64.082,20.509
ellip,8,20,5,80.493,0.3639,62.795,19.089
ellip,8,40,0,80.88,0.3909,32.033,20.518
ellip,8,40,1,81.293,0.375,31.362,20.574
ellip,8,40,2,80.115,0.3535,32.051,20.124
ellip,8,40,3,84.438,0.3502,31.447,19.701
ellip,8,40,4,81.311,0.366,32.002,20.312
ellip,8,40,5,81.108,0.3693,30.596,19.719
ellip,8,60,0,80.039,0.3609,21.527,17.923
ellip,8,60,1,80.704,0.3512,21.623,20.489
ellip,8,60,2,82.537,0.3467,20.526,20.211
ellip,8,60,3,83.519,0.3613,21.581,20.995
ellip,8,60,4,83.256,0.3492,21.426,20.244
ellip,8,60,5,81.269,0.3425,21.074,21.977
ellip,8,80,0,83.01,0.3582,15.458,19.737
ellip,8,80,1,81.925,0.3726,15.833,18.391
ellip,8,80,2,83.196,0.3718,16.263,18.492
ellip,8,80,3,82.025,0.3406,15.745,19.753
ellip,8,80,4,78.644,0.3585,15.878,19.388
ellip,8,80,5,79.634,0.3578,15.774,19.476
ellip,8,100,0,79.755,0.3685,12.956,17.997
ellip,8,100,1,83.049,0.3563,13.021,18.958
ellip,8,100,2,81.372,0.3516,12.795,19.549
ellip,8,100,3,82.485,0.3402,12.502,18.686
ellip,8,100,4,80.754,0.3645,12.434,19.087
ellip,8,100,5,81.572,0.3413,12.769,18.856
ellip,10,20,0,101.206,0.4387,78.718,21.324
ellip,10,20,1,100.171,0.4339,78.818,21.69
ellip,10,20,2,100.179,0.4351,79.006,20.818
ellip,10,20,3,103.278,0.4463,79.923,22.054
ellip,10,20,4,100.659,0.4458,79.281,21.022
ellip,10,20,5,102.518,0.4372,78.971,21.702
ellip,10,40,0,101.243,0.4289,40.372,20.184
ellip,10,40,1,103.176,0.4274,39.979,20.454
ellip,10,40,2,101.92,0.4429,39.636,19.176
ellip,10,40,3,102.997,0.4388,39.639,20.345
ellip,10,40,4,104.284,0.4472,39.802,19.129
ellip,10,40,5,99.956,0.4383,40.33,21.985
ellip,10,60,0,100.275,0.4382,26.807,20.33
ellip,10,60,1,101.554,0.4312,27.304,18.539
ellip,10,60,2,103.61,0.4416,26.602,19.757
ellip,10,60,3,104.262,0.4436,27.483,19.928
ellip,10,60,4,101.793,0.4478,26.633,20.964
ellip,10,60,5,101.245,0.4301,26.162,20.267
ellip,10,80,0,100.641,0.4439,20.302,20.5
ellip,10,80,1,101.414,0.4613,19.349,18.562
ellip,10,80,2,101.347,0.4293,19.985,19.336
ellip,10,80,3,102.624,0.44,19.785,18.789
ellip,10,80,4,101.394,0.4251,20.089,19.82
ellip,10,80,5,100.964,0.4536,19.536,20.424
ellip,10,100,0,103.58,0.4344,16.221,19.101
ellip,10,100,1,104.037,0.4262,15.519,17.846
ellip,10,100,2,101.081,0.4557,15.17,19.765
ellip,10,100,3,99.421,0.4415,16.401,19.224
ellip,10,100,4,103.723,0.4308,15.587,19.074
ellip,10,100,5,102.373,0.4332,15.971,16.893
bessel,2,20,0,7.752,0.0305,16.059,18.917
bessel,2,20,1,9.004,0.0077,15.846,18.927
bessel,2,20,2,6.465,0.0195,15.062,19.801
bessel,2,20,3,6.076,0.006,15.425,18.82
bessel,2,20,4,6.959,0.0069,16.431,20.082
bessel,2,20,5,7.629,0.0173,16.165,19.909
bessel,2,40,0,11.248,0.0298,7.802,18.181
bessel,2,40,1,9.877,0.0117,7.851,19.347
bessel,2,40,2,10.866,0.0233,8.235,19.625
bessel,2,40,3,8.188,0.0563,7.308,18.864
bessel,2,40,4,9.219,0.0507,8.473,18.222
bessel,2,40,5,4.874,0.0286,8.024,17.973
bessel,2,60,0,8.692,0.0234,5.647,18.344
bessel,2,60,1,8.461,0.0134,5.534,17.093
bessel,2,60,2,8.156,0.0376,5.301,15.871
bessel,2,60,3,7.391,0.045,5.271,17.926
bessel,2,60,4,7.404,0.01,5.289,19.192
bessel,2,60,5,4.093,0.008,5.545,21.076
bessel,2,80,0,6.757,0.0143,3.998,17.985
bessel,2,80,1,10.247,0.0026,4.008,18.399
bessel,2,80,2,8.003,0.0139,4.244,17.521
bessel,2,80,3,8.05,0.0219,3.392,18.642
bessel,2,80,4,6.86,0.0221,4.205,16.387
bessel,2,80,5,7.432,0.0121,3.635,18.101
bessel,2,100,0,9.731,0.0093,2.927,16.393
bessel,2,100,1,8.308,0.0081,3.288,17.136
bessel,2,100,2,9.536,0.0038,3.132,16.139
bessel,2,100,3,7.055,0.0169,2.329,16.733
bessel,2,100,4,9.07,0.015,3.781,15.416
bessel,2,100,5,9.879,0.0034,3.17,17.463
bessel,4,20,0,17.531,0.0051,32.273,21.954
bessel,4,20,1,13.977,0.0156,32.014,22.803
bessel,4,20,2,16.834,0.018,32.178,23.581
bessel,4,20,3,14.818,0.0108,32.246,22.999
bessel,4,20,4,15.5,0.0265,32.168,23.796
bessel,4,20,5,15.574,0.01,31.458,21.163
bessel,4,40,0,15.695,0.0126,16.24,21.769
bessel,4,40,1,14.449,0.0041,16.538,22.238
bessel,4,40,2,16.36,0.0048,16.087,22.039
bessel,4,40,3,16.792,0.0157,16.119,21.119
bessel,4,40,4,18.209,0.0172,15.749,20.995
bessel,4,40,5,14.21,0.0214,16.388,21.612
bessel,4,60,0,15.668,0.0327,10.692,19.682
bessel,4,60,1,17.122,0.0263,9.987,20.189
bessel,4,60,2,17.231,0.0205,10.993,19.666
bessel,4,60,3,15.368,0.0064,10.811,20.822
bessel,4,60,4,14.142,0.0599,11.448,21.67
bessel,4,60,5,16.374,0.0155,10.087,21.217
bessel,4,80,0,14.984,0.0164,8.15,18.409
bessel,4,80,1,17.887,0.028,8.176,20.35
bessel,4,80,2,14.869,0.0058,8.308,20.679
bessel,4,80,3,17.329,0.0182,7.875,18.524
bessel,4,80,4,12.853,0.0097,7.687,20.916
bessel,4,80,5,18.17,0.0229,7.614,19.976
bessel,4,100,0,16.017,0.044,6.651,18.143
bessel,4,100,1,14.7,0.0145,6.04,17.33
bessel,4,100,2,14.568,0.0093,6.7,18.095
bessel,4,100,3,13.57,0.0069,6.309,20.267
bessel,4,100,4,16.867,0.0277,6.501,19.671
bessel,4,100,5,15.646,0.0088,6.055,19.735
bessel,6,20,0,22.69,0.0127,48.193,23.138
bessel,6,20,1,23.254,0.0453,47.93,23.642
bessel,6,20,2,24.496,0.0325,48.343,23.988
bessel,6,20,3,22.864,0.0367,47.775,22.819
bessel,6,20,4,21.722,0.0157,47.921,23.465
bessel,6,20,5,25.92,0.0085,47.251,23.964
bessel,6,40,0,24.741,0.0232,24.346,23.613
bessel,6,40,1,24.39,0.0239,24.418,24.649
bessel,6,40,2,22.273,0.0175,23.415,23.826
bessel,6,40,3,25.561,0.0419,24.095,23.637
bessel,6,40,4,23.243,0.0194,24.153,23.83
bessel,6,40,5,23.346,0.0211,24.316,22.287
bessel,6,60,0,21.156,0.0215,15.648,21.462
bessel,6,60,1,22.726,0.0306,15.424,21.969
bessel,6,60,2,21.697,0.0261,15.875,20.874
bessel,6,60,3,23.134,0.0216,15.964,23.67
bessel,6,60,4,23.519,0.0276,15.858,21.949
bessel,6,60,5,22.84,0.0066,15.937,23.247
bessel,6,80,0,22.75,0.0094,11.65,21.897
bessel,6,80,1,21.231,0.0197,12.092,20.619
bessel,6,80,2,22.323,0.0139,11.682,20.116
bessel,6,80,3,25.086,0.0226,11.675,21.417
bessel,6,80,4,22.616,0.0314,11.007,21.531
bessel,6,80,5,25.885,0.0183,12.401,20.597
bessel,6,100,0,21.506,0.0163,9.031,19.521
bessel,6,100,1,25.616,0.009,10.23,21.674
bessel,6,100,2,23.2,0.0135,9.236,20.842
bessel,6,100,3,23.719,0.0434,9.588,19.927
bessel,6,100,4,21.966,0.0204,9.808,19.965
bessel,6,100,5,22.968,0.0106,9.685,21.261
bessel,8,20,0,30.242,0.0154,63.873,24.843
bessel,8,20,1,30.877,0.0292,63.245,24.902
bessel,8,20,2,32.638,0.0384,63.802,24.013
bessel,8,20,3,29.895,0.0088,63.576,25.138
bessel,8,20,4,31.148,0.0275,62.413,24.709
bessel,8,20,5,33.393,0.0225,63.624,24.87
bessel,8,40,0,31.108,0.0084,32.458,24.223
bessel,8,40,1,30.629,0.0243,31.611,23.997
bessel,8,40,2,31.989,0.021,31.609,22.875
bessel,8,40,3,31.041,0.0419,32.001,23.859
bessel,8,40,4,29.584,0.0271,31.644,23.668
bessel,8,40,5,29.911,0.0319,30.594,23.032
bessel,8,60,0,31.087,0.018,21.703,23.168
bessel,8,60,1,31.11,0.0291,21.329,22.058
bessel,8,60,2,32.489,0.0237,21.196,23.547
bessel,8,60,3,30.288,0.0296,20.441,23.542
bessel,8,60,4,31.301,0.0156,21.002,22.312
bessel,8,60,5,31.509,0.0223,21.963,23.197
bessel,8,80,0,30.951,0.0264,15.737,22.228
bessel,8,80,1,32.532,0.0186,15.411,21.732
bessel,8,80,2,30.521,0.0178,15.956,20.537
bessel,8,80,3,30.318,0.0301,15.342,22.821
bessel,8,80,4,30.288,0.0178,16.196,24.218
bessel,8,80,5,32.522,0.0584,14.818,21.334
bessel,8,100,0,28.862,0.0204,12.502,21.377
bessel,8,100,1,32.032,0.0343,13.489,22.57
bessel,8,100,2,33.29,0.0155,12.695,20.507
bessel,8,100,3,33.477,0.0147,13.263,21.98
bessel,8,100,4,32.52,0.009,13.115,21.021
bessel,8,100,5,31.103,0.0303,13.993,22.861
bessel,10,20,0,38.589,0.0267,79.556,24.508
bessel,10,20,1,39.055,0.0132,79.226,24.805
bessel,10,20,2,40.851,0.0362,79.382,24.289
bessel,10,20,3,38.083,0.0319,79.982,25.604
bessel,10,20,4,38.465,0.0342,79.363,24.4
bessel,10,20,5,39.04,0.0191,79.637,24.217
bessel,10,40,0,40.163,0.0108,39.735,23.409
bessel,10,40,1,37.585,0.0207,39.769,24.658
bessel,10,40,2,39.968,0.0373,38.908,23.818
bessel,10,40,3,39.353,0.0202,39.171,22.807
bessel,10,40,4,37.352,0.0114,40.057,24.33
bessel,10,40,5,40.075,0.0588,40.497,21.912
bessel,10,60,0,36.409,0.0115,26.758,23.268
bessel,10,60,1,37.495,0.0241,26.707,23.689
bessel,10,60,2,38.008,0.0179,27.007,23.845
bessel,10,60,3,37.215,0.035,26.512,24.988
bessel,10,60,4,37.576,0.0352,26.506,23.159
bessel,10,60,5,38.534,0.0251,26.372,23.021
bessel,10,80,0,37.649,0.0235,19.961,22.692
bessel,10,80,1,36.578,0.0114,20.073,22.72
bessel,10,80,2,38.033,0.0345,20.025,23.448
bessel,10,80,3,38.768,0.0162,20.001,23.484
bessel,10,80,4,37.627,0.018,19.355,23.627
bessel,10,80,5,40.115,0.0241,20.379,22.904
bessel,10,100,0,39.416,0.0326,15.843,22.825
bessel,10,100,1,39.054,0.0501,15.313,21.07
bessel,10,100,2,40.048,0.0114,15.63,21.357
bessel,10,100,3,38.155,0.0273,16.11,23.628
bessel,10,100,4,39.762,0.0143,15.799,21.64
bessel,10,100,5,42.372,0.0346,15.279,21.794
